"","orig.ident","nCount_RNA","nFeature_RNA","percent_mt","percent_ERCC","S.Score","G2M.Score","Phase","old.ident"
"HIWCKK","XRA",2648168,2829,13.5124357669151,0,0.00181210678603097,-0.0446708868665906,"S","XRA"
"LEGRVK","XRA",3714903,2865,8.76569320921704,0,-0.0212176782901474,0.0182158851793153,"G2M","XRA"
"EHUEUN","XRA",2615152,2284,10.1737107441556,0,0.0617938777720215,-0.0694471686605186,"S","XRA"
"IHUCVC","XRA",1391311,2284,4.0778086279775,0,0.0382046964169947,0.0313611066426131,"S","XRA"
"SWZGAF","XRA",1633868,1909,7.71849378285149,0.070568736274901,0.0245331053631555,-0.0754390878209371,"S","XRA"
"YJYHRD","XRA",123179,1364,5.60809878307179,0,-0.0379429419395751,-0.0433744050515106,"G1","XRA"
"IYVTFB","XRA",2360293,2358,8.38306939011385,0.00563489363396833,-0.0439002765858802,-0.0138882776451926,"G1","XRA"
"IIJAAW","XRA",1676448,2615,9.27950046765542,0,-0.0192996837162279,-0.0736427531395674,"G1","XRA"
"TBDDTX","XRA",1236260,1580,12.0443919563846,0,-0.0668100775396538,0.0277974445520335,"G2M","XRA"
"NYBHGK","XRA",2229971,2277,3.75986952296689,0,0.0249546190487452,-0.0384801550567581,"S","XRA"
"TWRREU","XRA",1385261,1501,9.00740004952135,0,0.163708735612495,0.017795965584073,"S","XRA"
"PLALNR","XRA",2251273,2972,9.80054395890681,0.0304716487071981,0.0496585772702258,0.0486582883742717,"S","XRA"
"SUDETL","XRA",210181,1217,8.47460046341011,0,0.0334007319106106,-0.0128988939362526,"S","XRA"
"EBAVJW","XRA",291654,1084,10.6485767381898,0.000685744066599464,-0.0308196147574468,0.0247315521727532,"G2M","XRA"
"CMTPNX","XRA",130881,847,10.6562449859032,0,-0.050003808028227,-0.0266396849651618,"G1","XRA"
"ZHDEWD","XRA",763447,1534,8.29225866366624,0,0.0204061029063605,-0.00182575069777112,"S","XRA"
"HEBGSQ","XRA",1104779,2386,6.96718529226207,0,-0.0469111706859412,-0.0336671329979869,"G1","XRA"
"BEDKGO","XRA",915213,1443,1.53865821398953,0,-0.0520243393511409,0.0284639859331598,"G2M","XRA"
"PCEXWX","XRA",72819,819,6.32939205427155,0,-0.00393675702670589,0.0607691960803313,"G2M","XRA"
"VUYVDP","XRA",10211,2239,5.88580942121242,0,0.0666738424778093,-0.0391670992061354,"S","XRA"
"FWRNOG","XRA",2383632,2168,7.16457070554515,0.0529024614537815,-0.01673200442375,-0.0638818557360851,"G1","XRA"
"JSGQZJ","XRA",2297552,2509,10.1702159515867,0,-0.0583264515338946,-0.0559444294799196,"G1","XRA"
"CKBOIO","XRA",109176,1009,12.4532864365795,0,-0.0493678984742017,-0.0630297957119841,"G1","XRA"
"XGKACN","XRA",1288716,1291,14.5845166817204,0,-0.0461926312006363,0.123616353524848,"G2M","XRA"
"YMOYWG","XRA",50240,423,2.63136942675159,0,-0.0382362848908044,-0.0202163266686869,"G1","XRA"
"RLFRYG","XRA",542296,2067,6.10091167923053,0,-0.0740070571575215,-0.0968835845243489,"G1","XRA"
"BRUDRA","XRA",3200089,2714,6.99021183473335,0,-0.0812321948087006,-0.00327051349037009,"G1","XRA"
"DHEVRD","XRA",602744,1281,2.43453273694968,0.000165907914471152,-0.0274197360321779,0.00423862470344281,"G2M","XRA"
"WKRSAA","XRA",1139046,2964,5.72180579186442,0.0172951750851151,0.0697118305061258,0.135386904452693,"G2M","XRA"
"EWCEWQ","XRA",2382890,2818,10.7640721980452,0,0.0854725438861808,0.0438968777406142,"S","XRA"
"BWFNCJ","XRA",532230,1332,5.16280555398982,0,-0.0351655565037422,-0.0635034110664418,"G1","XRA"
"ZVVKUK","XRA",2206483,2577,6.47999554041432,0.0086109886185391,-0.0743631535952202,-0.0185476927703787,"G1","XRA"
"OPDNJA","XRA",119065,635,8.31226640910427,0,-0.0354918006137205,-0.0425952784631943,"G1","XRA"
"MRECWG","XRA",7434,824,5.78423459779392,0,0.109077799038268,-0.0512067816974432,"S","XRA"
"FUWBFW","XRA",240539,2422,10.1122894832023,0,-0.0382124896137414,-0.0272746459860459,"G1","XRA"
"QWVJCO","XRA",9449,482,0,0.0105831304899989,0.0215950272437418,-0.0387646311007121,"S","XRA"
"RVLZTD","XRA",121937,1195,6.18352099854843,0,-0.0241860199345605,0.0277357483732514,"G2M","XRA"
"AGWCDB","XRA",4145684,2659,9.32343130831969,0,-0.0124930040584716,-0.0152806713133247,"G1","XRA"
"QOTCTW","XRA",140503,1427,11.2552756880636,0.000711728575190565,-0.0589929553660533,-0.052901807814027,"G1","XRA"
"UCBNBC","XRA",3577768,2704,11.5791465517049,0,-0.0609735821065055,0.0222551077173162,"G2M","XRA"
"RALTVJ","XRA",120622,907,14.7120757407438,0,-0.0193041063331679,-0.029927072531261,"G1","XRA"
"PGWWZC","XRA",3134265,2620,8.79619304685468,0.00851874362888907,-0.0471989439892569,0.0449102117498008,"G2M","XRA"
"QSDXED","XRA",2484626,2991,14.1750508929714,0.0532876980277917,-0.010716363342484,-0.0704581626472176,"G1","XRA"
"KYIZOP","XRA",115107,633,13.5500013031353,0,-0.0185132727158282,-0.0339947436861877,"G1","XRA"
"VFQFAT","XRA",1353496,2327,6.35354666729713,0.0398966823692128,-0.0025811945561201,-0.0621402738522855,"G1","XRA"
"QBRRTD","XRA",282233,1055,8.35657063490095,0.00035431717765109,-0.045437563784609,-0.00643235446540313,"G1","XRA"
"DEAQJH","XRA",171208,753,13.390729405168,0,-0.0273142950844615,-0.0484545403422258,"G1","XRA"
"EFFGEX","XRA",549610,1169,14.2346391077309,0.0483979549134841,0.0212812308988967,-0.0564382456248248,"S","XRA"
"VZFLJZ","XRA",1530711,1947,8.04998461499264,0,-0.0583690174422557,-0.0811789741312934,"G1","XRA"
"QUXBMS","XRA",3452142,2465,6.22850971947272,0,0.00137041303309189,-0.0644830717599217,"S","XRA"
"BTPNLA","XRA",3550726,2382,10.1094818355457,0,0.0122327308523752,0.0780196868587825,"G2M","XRA"
"IXHKOP","XRA",464363,1671,7.45817388551629,0.000430697536194744,0.00146211257750677,-0.0304712584939164,"S","XRA"
"OFVAQL","XRA",31930,1351,7.84841841528343,0,0.0699200444427108,-0.0378989715755134,"S","XRA"
"MPORWK","XRA",1215178,1555,8.19781134944839,0.0655870991739482,-0.0694098183664536,-0.071220502423001,"G1","XRA"
"YJEGYC","XRA",2487245,2141,14.4773434060577,0.0093677944874751,-0.0700279187105532,-0.0173400836907858,"G1","XRA"
"XMAEHH","XRA",1255510,1655,10.3342864652611,0,-0.0616582540958216,-0.0667414544936633,"G1","XRA"
"BJPNPM","XRA",422823,1256,5.63545502491586,0,-0.0409313296997897,0.00713482367519128,"G2M","XRA"
"DZTJDF","XRA",191664,784,13.8544536271809,0,-0.0260366875544619,0.0224978657053032,"G2M","XRA"
"EQNVIP","XRA",2932477,2288,7.26079011020376,0,-0.0250987098414523,-0.0849985928174028,"G1","XRA"
"GYKVTK","XRA",970764,2197,9.43730917092105,0.0552142436266693,-0.0468487329632967,-0.0693335420513802,"G1","XRA"
"ZZQBDM","XRA",772465,1870,10.9628267947415,0,-0.0667317688212911,-0.0126019201874641,"G1","XRA"
"UAVRLG","XRA",2010570,1893,14.3225055581253,4.97371392192264e-05,-0.07126669410352,-0.0259734634437325,"G1","XRA"
"EOMVTJ","XRA",1193376,1919,8.750720644625,0.00904995575577186,-0.00088588757126247,-0.0883236296187881,"G1","XRA"
"UGPEEF","XRA",2384018,2494,8.42053205974116,0,-0.0530506257343959,-0.00403377641070665,"G1","XRA"
"RAIYAC","XRA",1702148,1824,4.0040584015021,0,0.0116796912123544,-0.0727502007762674,"S","XRA"
"FZMQAH","XRA",1278035,1971,9.12322432484243,0.0339583814214791,-0.0591717812755376,-0.0272089856798824,"G1","XRA"
"JMRUVC","XRA",2059710,2752,8.38302479475266,0,0.00897290055723103,0.0217549165517484,"G2M","XRA"
"RZOYFF","XRA",1177822,1328,13.3169528162999,0,0.0433361590845656,-0.0541621535828887,"S","XRA"
"MLUATV","XRA",55943,685,3.45709025257852,0,-0.0420876809727878,-0.0326952474097333,"G1","XRA"
"ISGISL","XRA",976923,1318,11.0115126780719,0.0762598485243975,-0.047952255369807,-0.012258292539641,"G1","XRA"
"WNOVJE","XRA",302556,1211,9.17383889263475,0,-0.0416847078138165,-0.0531506134954254,"G1","XRA"
"GKWZWL","XRA",976499,2663,9.04373685994558,0,-0.0109487208797758,-0.053417042770948,"G1","XRA"
"ECPBNM","XRA",1250885,1939,8.35688332660476,0,-0.0505454199419465,0.0161236516654591,"G2M","XRA"
"BPUPAK","XRA",1775113,2547,6.01060326863698,0,0.0138383160000155,-0.0170192761808213,"S","XRA"
