"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ANXA21",8.03016769939853e-44,0.682512065644536,0.958,0.708,3.43209367472293e-39,"2","ANXA2"
"SUN1",8.5709469154401e-44,1.00753674924353,0.483,0.191,3.6632227116591e-39,"2","SUN1"
"HSD17B12",1.10519088805811e-43,1.31792707559728,0.392,0.135,4.72358585556038e-39,"2","HSD17B12"
"MARCH31",1.87211909264059e-43,1.73051196995786,0.339,0.103,8.00143700194588e-39,"2","MARCH3"
"TMSB4XP81",2.26459198315921e-43,0.566047292428797,0.98,0.806,9.67886613602247e-39,"2","TMSB4XP8"
"AC026462.11",2.52136162906483e-43,1.41602922579539,0.47,0.179,1.07762996026231e-38,"2","AC026462.1"
"TRIOBP1",2.5225552687365e-43,1.2645501616077,0.366,0.119,1.07814012185798e-38,"2","TRIOBP"
"ARHGAP29",3.34060388109292e-43,0.860621010562978,0.441,0.159,1.42777409877911e-38,"2","ARHGAP29"
"SP100",3.6035282990027e-43,0.833678053499795,0.732,0.403,1.54014799499375e-38,"2","SP100"
"CRYBG3",4.37497922469767e-43,1.07944029703136,0.275,0.07,1.86986612063578e-38,"2","CRYBG3"
"FOXP11",4.56829753115796e-43,0.515200068417338,0.816,0.461,1.95249036481691e-38,"2","FOXP1"
"GPRC5B",4.60002434167662e-43,1.19791406484424,0.257,0.062,1.96605040363259e-38,"2","GPRC5B"
"DNAJB4",6.25339942182188e-43,0.73147606791568,0.636,0.293,2.67270291288667e-38,"2","DNAJB4"
"NUCB1",6.26117647362747e-43,1.2505059588347,0.41,0.147,2.67602682482838e-38,"2","NUCB1"
"ID1",3.42160557421714e-42,0.942126278712673,0.381,0.122,1.46239422242041e-37,"2","ID1"
"SLC4A7",5.7023354546254e-42,1.16776687750717,0.446,0.169,2.4371781733069e-37,"2","SLC4A7"
"CTTN1",6.37168615476467e-42,0.732093125780448,0.608,0.272,2.72325866254642e-37,"2","CTTN"
"CHSY1",9.16077064818241e-42,0.907614518444547,0.561,0.245,3.91531337503316e-37,"2","CHSY1"
"EIF2AK2",1.38319235783946e-41,0.929432931738915,0.368,0.121,5.91176413740584e-37,"2","EIF2AK2"
"HOTAIRM1",1.48158334669638e-41,1.4948265883626,0.279,0.075,6.33228722378032e-37,"2","HOTAIRM1"
"RAC1P5",2.51213557643827e-41,1.21858751349622,0.375,0.127,1.07368674536972e-36,"2","RAC1P5"
"RN7SL1",3.40322244974357e-41,0.960348201960656,0.594,0.294,1.4545372750204e-36,"2","RN7SL1"
"TXN",5.47322751132897e-41,0.634373318061739,0.843,0.502,2.339257438342e-36,"2","TXN"
"CD55",8.91247859295366e-41,0.632205358198253,0.763,0.417,3.8091933506284e-36,"2","CD55"
"ELOVL1",1.14844139638017e-40,1.10466518662227,0.366,0.123,4.90843852812884e-36,"2","ELOVL1"
"TCP1",1.21580340987177e-40,0.863189608720956,0.78,0.451,5.19634377379196e-36,"2","TCP1"
"ACTG1",1.29130368411905e-40,0.881642880607083,0.967,0.76,5.51903194592482e-36,"2","ACTG1"
"TNFRSF1A",1.45112769101775e-40,1.01643473772264,0.463,0.185,6.20211975140984e-36,"2","TNFRSF1A"
"FCGRT",1.6726590898208e-40,0.641435079412255,0.592,0.274,7.14894494989411e-36,"2","FCGRT"
"ELMO1",1.90470012233481e-40,0.884383388708224,0.472,0.186,8.14068832285899e-36,"2","ELMO1"
"ZFYVE21",2.40261689734335e-40,1.545204909693,0.337,0.109,1.02687846192455e-35,"2","ZFYVE21"
"HSPG21",3.10902456140649e-40,1.39846988757887,0.381,0.134,1.32879709754513e-35,"2","HSPG2"
"PMAIP1",3.5620891081299e-40,0.806981305437787,0.273,0.071,1.52243688481472e-35,"2","PMAIP1"
"ZC3H12A",4.46107121722294e-40,1.29766581725736,0.419,0.16,1.90666183824109e-35,"2","ZC3H12A"
"INSIG1",4.58377789071908e-40,0.657270312582352,0.647,0.303,1.95910667049333e-35,"2","INSIG1"
"HES1",4.59770703895498e-40,0.585926149968774,0.705,0.354,1.96505998844936e-35,"2","HES1"
"IFI16",5.03658006950715e-40,0.457669046691398,0.896,0.527,2.15263432170735e-35,"2","IFI16"
"PNO1",5.25225328380613e-40,1.13944560477002,0.344,0.111,2.24481305349874e-35,"2","PNO1"
"HERC2P2",6.38051689078057e-40,1.06610701351611,0.282,0.078,2.72703291911961e-35,"2","HERC2P2"
"RNF19B",6.80998891572893e-40,1.82178383316507,0.279,0.078,2.91058926258255e-35,"2","RNF19B"
"SPTBN11",7.09071832487553e-40,0.60858351428997,0.789,0.432,3.0305730120518e-35,"2","SPTBN1"
"NANS",1.14614198290224e-39,1.21959633204252,0.388,0.14,4.89861083492416e-35,"2","NANS"
"DOCK4",1.45067587856708e-39,1.34172081499406,0.293,0.085,6.20018870499568e-35,"2","DOCK4"
"RDX",2.14754390308723e-39,0.554103470022782,0.559,0.252,9.17860264179483e-35,"2","RDX"
"TOMM5",2.43121250423327e-39,0.845506569836681,0.601,0.281,1.0391002243093e-34,"2","TOMM5"
"YES1",2.7800059099728e-39,1.18694263381325,0.302,0.09,1.18817452592238e-34,"2","YES1"
"FZD41",3.06653292424746e-39,1.33543144516775,0.335,0.108,1.31063617182336e-34,"2","FZD4"
"ANXA2P21",3.99664998608256e-39,0.71700098177681,0.869,0.565,1.70816820405169e-34,"2","ANXA2P2"
"ITPRID2",5.12923375552896e-39,1.29888138568402,0.297,0.087,2.19223450711308e-34,"2","ITPRID2"
"HSPD1P1",6.6718384169282e-39,1.31441998298363,0.636,0.324,2.85154373939511e-34,"2","HSPD1P1"
"SLC30A7",1.00820270589961e-38,0.751850832817648,0.379,0.133,4.30905836501492e-34,"2","SLC30A7"
"KTN1",1.1324704604772e-38,0.329304095958565,0.803,0.475,4.84017874807955e-34,"2","KTN1"
"SUSD6",1.22832622234846e-38,0.939983369844273,0.432,0.164,5.24986627431733e-34,"2","SUSD6"
"SEPT10",1.30217324217581e-38,0.867043810526832,0.364,0.123,5.56548843705943e-34,"2","SEPT10"
"LTBR",1.31958577288869e-38,1.54677595199269,0.317,0.102,5.63990959332627e-34,"2","LTBR"
"ANKRD17",1.68264934587972e-38,0.976905211449208,0.421,0.162,7.19164330428993e-34,"2","ANKRD17"
"AHR",2.19514993406634e-38,0.834334762187732,0.43,0.162,9.38207081819956e-34,"2","AHR"
"TMSB4X1",2.50692139978658e-38,0.387692334544047,1,0.864,1.07145820626879e-33,"2","TMSB4X"
"CYSTM1",3.37082899682037e-38,0.58996120071198,0.603,0.282,1.44069231324103e-33,"2","CYSTM1"
